VC:46e9e7d BD:Jun  9 2016 SN:US4300160800001173
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,     [CH4L]_ppm,  [CH4L]_ppm_sd,     [CH4H]_ppm,  [CH4H]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  07/26/2018 16:27:29.760,    2.04001e+00,    0.00000e+00,    2.04001e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.11471e+04,    0.00000e+00,    5.09554e+02,    0.00000e+00,    2.06300e+00,    0.00000e+00,    5.15298e+02,    0.00000e+00,    1.40264e+02,    0.00000e+00,    3.38224e+01,    0.00000e+00,    3.39606e+01,    0.00000e+00,    1.06220e+01,    0.00000e+00,    1.17474e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:30.756,    2.04173e+00,    0.00000e+00,    2.04173e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.11859e+04,    0.00000e+00,    5.09555e+02,    0.00000e+00,    2.06483e+00,    0.00000e+00,    5.15319e+02,    0.00000e+00,    1.40263e+02,    0.00000e+00,    3.38212e+01,    0.00000e+00,    3.39646e+01,    0.00000e+00,    1.06200e+01,    0.00000e+00,    1.17467e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:31.751,    2.04079e+00,    0.00000e+00,    2.04079e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.11664e+04,    0.00000e+00,    5.08794e+02,    0.00000e+00,    2.06384e+00,    0.00000e+00,    5.14539e+02,    0.00000e+00,    1.40268e+02,    0.00000e+00,    3.38198e+01,    0.00000e+00,    3.39717e+01,    0.00000e+00,    1.06244e+01,    0.00000e+00,    1.17494e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:32.746,    2.04204e+00,    0.00000e+00,    2.04204e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.11250e+04,    0.00000e+00,    5.08813e+02,    0.00000e+00,    2.06502e+00,    0.00000e+00,    5.14538e+02,    0.00000e+00,    1.40265e+02,    0.00000e+00,    3.38182e+01,    0.00000e+00,    3.39747e+01,    0.00000e+00,    1.06231e+01,    0.00000e+00,    1.17469e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:33.741,    2.04092e+00,    0.00000e+00,    2.04092e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.11435e+04,    0.00000e+00,    5.08783e+02,    0.00000e+00,    2.06392e+00,    0.00000e+00,    5.14516e+02,    0.00000e+00,    1.40233e+02,    0.00000e+00,    3.38170e+01,    0.00000e+00,    3.39780e+01,    0.00000e+00,    1.06233e+01,    0.00000e+00,    1.17462e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:34.737,    2.04123e+00,    0.00000e+00,    2.04123e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.11108e+04,    0.00000e+00,    5.08066e+02,    0.00000e+00,    2.06417e+00,    0.00000e+00,    5.13775e+02,    0.00000e+00,    1.40259e+02,    0.00000e+00,    3.38156e+01,    0.00000e+00,    3.39793e+01,    0.00000e+00,    1.06196e+01,    0.00000e+00,    1.17496e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:35.734,    2.03842e+00,    0.00000e+00,    2.03842e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.10859e+04,    0.00000e+00,    5.08097e+02,    0.00000e+00,    2.06127e+00,    0.00000e+00,    5.13793e+02,    0.00000e+00,    1.40262e+02,    0.00000e+00,    3.38142e+01,    0.00000e+00,    3.39833e+01,    0.00000e+00,    1.06241e+01,    0.00000e+00,    1.17496e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:36.729,    2.03838e+00,    0.00000e+00,    2.03838e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.11076e+04,    0.00000e+00,    5.08745e+02,    0.00000e+00,    2.06127e+00,    0.00000e+00,    5.14460e+02,    0.00000e+00,    1.40266e+02,    0.00000e+00,    3.38127e+01,    0.00000e+00,    3.39871e+01,    0.00000e+00,    1.06224e+01,    0.00000e+00,    1.17482e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:37.724,    2.03939e+00,    0.00000e+00,    2.03939e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.11048e+04,    0.00000e+00,    5.09271e+02,    0.00000e+00,    2.06229e+00,    0.00000e+00,    5.14990e+02,    0.00000e+00,    1.40304e+02,    0.00000e+00,    3.38110e+01,    0.00000e+00,    3.39871e+01,    0.00000e+00,    1.06220e+01,    0.00000e+00,    1.17465e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:38.720,    2.03826e+00,    0.00000e+00,    2.03826e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.10870e+04,    0.00000e+00,    5.09880e+02,    0.00000e+00,    2.06112e+00,    0.00000e+00,    5.15597e+02,    0.00000e+00,    1.40263e+02,    0.00000e+00,    3.38099e+01,    0.00000e+00,    3.39935e+01,    0.00000e+00,    1.06217e+01,    0.00000e+00,    1.17453e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:39.715,    2.03874e+00,    0.00000e+00,    2.03874e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.11272e+04,    0.00000e+00,    5.10872e+02,    0.00000e+00,    2.06168e+00,    0.00000e+00,    5.16620e+02,    0.00000e+00,    1.40261e+02,    0.00000e+00,    3.38086e+01,    0.00000e+00,    3.39995e+01,    0.00000e+00,    1.06204e+01,    0.00000e+00,    1.17479e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:40.711,    2.03906e+00,    0.00000e+00,    2.03906e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.10915e+04,    0.00000e+00,    5.12425e+02,    0.00000e+00,    2.06193e+00,    0.00000e+00,    5.18173e+02,    0.00000e+00,    1.40261e+02,    0.00000e+00,    3.38072e+01,    0.00000e+00,    3.40061e+01,    0.00000e+00,    1.06233e+01,    0.00000e+00,    1.17466e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:41.706,    2.03924e+00,    0.00000e+00,    2.03924e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.11288e+04,    0.00000e+00,    5.14082e+02,    0.00000e+00,    2.06219e+00,    0.00000e+00,    5.19867e+02,    0.00000e+00,    1.40254e+02,    0.00000e+00,    3.38059e+01,    0.00000e+00,    3.40100e+01,    0.00000e+00,    1.06235e+01,    0.00000e+00,    1.17481e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:42.700,    2.04183e+00,    0.00000e+00,    2.04183e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.11776e+04,    0.00000e+00,    5.16547e+02,    0.00000e+00,    2.06491e+00,    0.00000e+00,    5.22386e+02,    0.00000e+00,    1.40265e+02,    0.00000e+00,    3.38043e+01,    0.00000e+00,    3.40124e+01,    0.00000e+00,    1.06232e+01,    0.00000e+00,    1.17474e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:43.695,    2.04399e+00,    0.00000e+00,    2.04399e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.12317e+04,    0.00000e+00,    5.18439e+02,    0.00000e+00,    2.06721e+00,    0.00000e+00,    5.24328e+02,    0.00000e+00,    1.40268e+02,    0.00000e+00,    3.38030e+01,    0.00000e+00,    3.40121e+01,    0.00000e+00,    1.06225e+01,    0.00000e+00,    1.17478e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:44.690,    2.04574e+00,    0.00000e+00,    2.04574e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.12800e+04,    0.00000e+00,    5.20543e+02,    0.00000e+00,    2.06908e+00,    0.00000e+00,    5.26481e+02,    0.00000e+00,    1.40262e+02,    0.00000e+00,    3.38016e+01,    0.00000e+00,    3.40111e+01,    0.00000e+00,    1.06199e+01,    0.00000e+00,    1.17454e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:45.687,    2.04713e+00,    0.00000e+00,    2.04713e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.12715e+04,    0.00000e+00,    5.22655e+02,    0.00000e+00,    2.07047e+00,    0.00000e+00,    5.28613e+02,    0.00000e+00,    1.40262e+02,    0.00000e+00,    3.38005e+01,    0.00000e+00,    3.40147e+01,    0.00000e+00,    1.06232e+01,    0.00000e+00,    1.17473e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:46.681,    2.04883e+00,    0.00000e+00,    2.04883e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.13193e+04,    0.00000e+00,    5.23602e+02,    0.00000e+00,    2.07229e+00,    0.00000e+00,    5.29597e+02,    0.00000e+00,    1.40260e+02,    0.00000e+00,    3.37990e+01,    0.00000e+00,    3.40171e+01,    0.00000e+00,    1.06213e+01,    0.00000e+00,    1.17489e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:47.676,    2.05014e+00,    0.00000e+00,    2.05014e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.13220e+04,    0.00000e+00,    5.24690e+02,    0.00000e+00,    2.07362e+00,    0.00000e+00,    5.30699e+02,    0.00000e+00,    1.40263e+02,    0.00000e+00,    3.37975e+01,    0.00000e+00,    3.40167e+01,    0.00000e+00,    1.06190e+01,    0.00000e+00,    1.17493e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:48.672,    2.05047e+00,    0.00000e+00,    2.05047e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.13493e+04,    0.00000e+00,    5.26016e+02,    0.00000e+00,    2.07400e+00,    0.00000e+00,    5.32055e+02,    0.00000e+00,    1.40264e+02,    0.00000e+00,    3.37963e+01,    0.00000e+00,    3.40221e+01,    0.00000e+00,    1.06225e+01,    0.00000e+00,    1.17465e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:49.668,    2.05139e+00,    0.00000e+00,    2.05139e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.14123e+04,    0.00000e+00,    5.26678e+02,    0.00000e+00,    2.07507e+00,    0.00000e+00,    5.32758e+02,    0.00000e+00,    1.40261e+02,    0.00000e+00,    3.37949e+01,    0.00000e+00,    3.40248e+01,    0.00000e+00,    1.06258e+01,    0.00000e+00,    1.17507e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:50.662,    2.05224e+00,    0.00000e+00,    2.05224e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.14058e+04,    0.00000e+00,    5.27674e+02,    0.00000e+00,    2.07592e+00,    0.00000e+00,    5.33762e+02,    0.00000e+00,    1.40263e+02,    0.00000e+00,    3.37935e+01,    0.00000e+00,    3.40277e+01,    0.00000e+00,    1.06213e+01,    0.00000e+00,    1.17510e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:51.658,    2.05159e+00,    0.00000e+00,    2.05159e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.14000e+04,    0.00000e+00,    5.28267e+02,    0.00000e+00,    2.07525e+00,    0.00000e+00,    5.34358e+02,    0.00000e+00,    1.40260e+02,    0.00000e+00,    3.37922e+01,    0.00000e+00,    3.40318e+01,    0.00000e+00,    1.06217e+01,    0.00000e+00,    1.17488e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:52.653,    2.05323e+00,    0.00000e+00,    2.05323e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.14545e+04,    0.00000e+00,    5.29266e+02,    0.00000e+00,    2.07702e+00,    0.00000e+00,    5.35399e+02,    0.00000e+00,    1.40224e+02,    0.00000e+00,    3.37909e+01,    0.00000e+00,    3.40365e+01,    0.00000e+00,    1.06220e+01,    0.00000e+00,    1.17508e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:53.648,    2.05159e+00,    0.00000e+00,    2.05159e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.14265e+04,    0.00000e+00,    5.29701e+02,    0.00000e+00,    2.07531e+00,    0.00000e+00,    5.35824e+02,    0.00000e+00,    1.40260e+02,    0.00000e+00,    3.37895e+01,    0.00000e+00,    3.40386e+01,    0.00000e+00,    1.06240e+01,    0.00000e+00,    1.17504e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:54.646,    2.05206e+00,    0.00000e+00,    2.05206e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.14005e+04,    0.00000e+00,    5.30184e+02,    0.00000e+00,    2.07572e+00,    0.00000e+00,    5.36298e+02,    0.00000e+00,    1.40264e+02,    0.00000e+00,    3.37880e+01,    0.00000e+00,    3.40406e+01,    0.00000e+00,    1.06220e+01,    0.00000e+00,    1.17445e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:55.644,    2.05268e+00,    0.00000e+00,    2.05268e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.14148e+04,    0.00000e+00,    5.30827e+02,    0.00000e+00,    2.07638e+00,    0.00000e+00,    5.36956e+02,    0.00000e+00,    1.40266e+02,    0.00000e+00,    3.37868e+01,    0.00000e+00,    3.40408e+01,    0.00000e+00,    1.06224e+01,    0.00000e+00,    1.17459e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:56.637,    2.05141e+00,    0.00000e+00,    2.05141e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.14288e+04,    0.00000e+00,    5.31181e+02,    0.00000e+00,    2.07512e+00,    0.00000e+00,    5.37322e+02,    0.00000e+00,    1.40287e+02,    0.00000e+00,    3.37853e+01,    0.00000e+00,    3.40376e+01,    0.00000e+00,    1.06192e+01,    0.00000e+00,    1.17491e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:57.632,    2.05172e+00,    0.00000e+00,    2.05172e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.14005e+04,    0.00000e+00,    5.31729e+02,    0.00000e+00,    2.07538e+00,    0.00000e+00,    5.37861e+02,    0.00000e+00,    1.40261e+02,    0.00000e+00,    3.37841e+01,    0.00000e+00,    3.40450e+01,    0.00000e+00,    1.06228e+01,    0.00000e+00,    1.17470e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:58.628,    2.05028e+00,    0.00000e+00,    2.05028e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.13568e+04,    0.00000e+00,    5.31480e+02,    0.00000e+00,    2.07383e+00,    0.00000e+00,    5.37585e+02,    0.00000e+00,    1.40260e+02,    0.00000e+00,    3.37828e+01,    0.00000e+00,    3.40470e+01,    0.00000e+00,    1.06222e+01,    0.00000e+00,    1.17485e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:27:59.623,    2.05091e+00,    0.00000e+00,    2.05091e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.13933e+04,    0.00000e+00,    5.31584e+02,    0.00000e+00,    2.07454e+00,    0.00000e+00,    5.37710e+02,    0.00000e+00,    1.40263e+02,    0.00000e+00,    3.37812e+01,    0.00000e+00,    3.40487e+01,    0.00000e+00,    1.06199e+01,    0.00000e+00,    1.17473e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:28:00.618,    2.05073e+00,    0.00000e+00,    2.05073e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.13688e+04,    0.00000e+00,    5.31179e+02,    0.00000e+00,    2.07431e+00,    0.00000e+00,    5.37288e+02,    0.00000e+00,    1.40274e+02,    0.00000e+00,    3.37802e+01,    0.00000e+00,    3.40549e+01,    0.00000e+00,    1.06242e+01,    0.00000e+00,    1.17473e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:28:01.613,    2.05081e+00,    0.00000e+00,    2.05081e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.13663e+04,    0.00000e+00,    5.30598e+02,    0.00000e+00,    2.07439e+00,    0.00000e+00,    5.36698e+02,    0.00000e+00,    1.40263e+02,    0.00000e+00,    3.37788e+01,    0.00000e+00,    3.40591e+01,    0.00000e+00,    1.06207e+01,    0.00000e+00,    1.17470e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:28:02.609,    2.05076e+00,    0.00000e+00,    2.05076e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.14040e+04,    0.00000e+00,    5.30106e+02,    0.00000e+00,    2.07441e+00,    0.00000e+00,    5.36221e+02,    0.00000e+00,    1.40262e+02,    0.00000e+00,    3.37777e+01,    0.00000e+00,    3.40639e+01,    0.00000e+00,    1.06219e+01,    0.00000e+00,    1.17499e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:28:03.604,    2.05071e+00,    0.00000e+00,    2.05071e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.13767e+04,    0.00000e+00,    5.29486e+02,    0.00000e+00,    2.07431e+00,    0.00000e+00,    5.35580e+02,    0.00000e+00,    1.40260e+02,    0.00000e+00,    3.37762e+01,    0.00000e+00,    3.40666e+01,    0.00000e+00,    1.06220e+01,    0.00000e+00,    1.17481e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:28:04.599,    2.05058e+00,    0.00000e+00,    2.05058e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.13065e+04,    0.00000e+00,    5.29729e+02,    0.00000e+00,    2.07403e+00,    0.00000e+00,    5.35787e+02,    0.00000e+00,    1.40224e+02,    0.00000e+00,    3.37754e+01,    0.00000e+00,    3.40713e+01,    0.00000e+00,    1.06203e+01,    0.00000e+00,    1.17484e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:28:05.595,    2.04847e+00,    0.00000e+00,    2.04847e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.13143e+04,    0.00000e+00,    5.33063e+02,    0.00000e+00,    2.07192e+00,    0.00000e+00,    5.39164e+02,    0.00000e+00,    1.40260e+02,    0.00000e+00,    3.37740e+01,    0.00000e+00,    3.40711e+01,    0.00000e+00,    1.06231e+01,    0.00000e+00,    1.17474e+01,    0.00000e+00,              3,              0,       1 meters
  07/26/2018 16:28:06.590,    2.04657e+00,    0.00000e+00,    2.04657e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.12874e+04,    0.00000e+00,    5.35559e+02,    0.00000e+00,    2.06994e+00,    0.00000e+00,    5.41673e+02,    0.00000e+00,    1.40264e+02,    0.00000e+00,    3.37726e+01,    0.00000e+00,    3.40733e+01,    0.00000e+00,    1.06241e+01,    0.00000e+00,    1.17487e+01,    0.00000e+00,              3,              0,       1 meters
