VC:46e9e7d BD:Jun  9 2016 SN:US4300160800001173
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,     [CH4L]_ppm,  [CH4L]_ppm_sd,     [CH4H]_ppm,  [CH4H]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  07/24/2018 15:15:07.261,    1.88713e+00,    0.00000e+00,    1.88713e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.86351e+04,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.92296e+00,    0.00000e+00,   -1.01899e-02,    0.00000e+00,    1.40119e+02,    0.00000e+00,    3.49721e+01,    0.00000e+00,    4.03118e+01,    0.00000e+00,    1.06170e+01,    0.00000e+00,    1.17308e+01,    0.00000e+00,              3,              0,       1 meters
  07/24/2018 15:15:08.255,    1.90436e+00,    0.00000e+00,    1.90436e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.88157e+04,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.94088e+00,    0.00000e+00,   -1.01918e-02,    0.00000e+00,    1.40079e+02,    0.00000e+00,    3.49725e+01,    0.00000e+00,    4.03125e+01,    0.00000e+00,    1.06174e+01,    0.00000e+00,    1.17289e+01,    0.00000e+00,              3,              0,       1 meters
  07/24/2018 15:15:09.251,    1.92120e+00,    0.00000e+00,    1.92120e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.90348e+04,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.95848e+00,    0.00000e+00,   -1.01940e-02,    0.00000e+00,    1.40114e+02,    0.00000e+00,    3.49725e+01,    0.00000e+00,    4.03027e+01,    0.00000e+00,    1.06202e+01,    0.00000e+00,    1.17301e+01,    0.00000e+00,              3,              0,       1 meters
  07/24/2018 15:15:10.246,    1.94698e+00,    0.00000e+00,    1.94698e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.91915e+04,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.98508e+00,    0.00000e+00,   -1.01957e-02,    0.00000e+00,    1.40077e+02,    0.00000e+00,    3.49730e+01,    0.00000e+00,    4.02978e+01,    0.00000e+00,    1.06193e+01,    0.00000e+00,    1.17286e+01,    0.00000e+00,              3,              0,       1 meters
  07/24/2018 15:15:11.242,    1.96884e+00,    0.00000e+00,    1.96884e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.94061e+04,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.00780e+00,    0.00000e+00,   -1.01979e-02,    0.00000e+00,    1.40133e+02,    0.00000e+00,    3.49732e+01,    0.00000e+00,    4.02901e+01,    0.00000e+00,    1.06183e+01,    0.00000e+00,    1.17305e+01,    0.00000e+00,              3,              0,       1 meters
  07/24/2018 15:15:12.236,    1.98834e+00,    0.00000e+00,    1.98834e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.96316e+04,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.02816e+00,    0.00000e+00,   -1.02002e-02,    0.00000e+00,    1.40074e+02,    0.00000e+00,    3.49737e+01,    0.00000e+00,    4.02891e+01,    0.00000e+00,    1.06189e+01,    0.00000e+00,    1.17288e+01,    0.00000e+00,              3,              0,       1 meters
  07/24/2018 15:15:13.232,    2.00194e+00,    0.00000e+00,    2.00194e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.97747e+04,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.04233e+00,    0.00000e+00,   -1.02017e-02,    0.00000e+00,    1.40101e+02,    0.00000e+00,    3.49740e+01,    0.00000e+00,    4.02850e+01,    0.00000e+00,    1.06182e+01,    0.00000e+00,    1.17286e+01,    0.00000e+00,              3,              0,       1 meters
  07/24/2018 15:15:14.229,    2.01187e+00,    0.00000e+00,    2.01187e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.98832e+04,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.05268e+00,    0.00000e+00,   -1.02029e-02,    0.00000e+00,    1.40109e+02,    0.00000e+00,    3.49743e+01,    0.00000e+00,    4.02850e+01,    0.00000e+00,    1.06181e+01,    0.00000e+00,    1.17286e+01,    0.00000e+00,              3,              0,       1 meters
  07/24/2018 15:15:15.224,    2.01884e+00,    0.00000e+00,    2.01884e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.00401e+04,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.06013e+00,    0.00000e+00,   -1.02045e-02,    0.00000e+00,    1.40099e+02,    0.00000e+00,    3.49748e+01,    0.00000e+00,    4.02896e+01,    0.00000e+00,    1.06157e+01,    0.00000e+00,    1.17295e+01,    0.00000e+00,              3,              0,       1 meters
  07/24/2018 15:15:16.219,    2.02295e+00,    0.00000e+00,    2.02295e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.01466e+04,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.06455e+00,    0.00000e+00,   -1.02056e-02,    0.00000e+00,    1.40103e+02,    0.00000e+00,    3.49749e+01,    0.00000e+00,    4.02901e+01,    0.00000e+00,    1.06184e+01,    0.00000e+00,    1.17284e+01,    0.00000e+00,              3,              0,       1 meters
