VC:2f90039 BD:Oct  1 2014 SN:LGR-15-0016
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,     [CH4L]_ppm,  [CH4L]_ppm_sd,     [CH4H]_ppm,  [CH4H]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  10/03/2018 15:33:36.804,    2.00395e+00,    0.00000e+00,    2.00395e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.34480e+04,    0.00000e+00,    4.23286e+02,    0.00000e+00,    2.03126e+00,    0.00000e+00,    4.29056e+02,    0.00000e+00,    1.40080e+02,    0.00000e+00,    2.21954e+01,    0.00000e+00,    2.32397e+01,    0.00000e+00,    8.75721e+00,    0.00000e+00,    8.80674e+00,    0.00000e+00,              3,              0,       1 meters
  10/03/2018 15:33:37.781,    2.00125e+00,    0.00000e+00,    2.00125e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.33513e+04,    0.00000e+00,    4.24348e+02,    0.00000e+00,    2.02833e+00,    0.00000e+00,    4.30090e+02,    0.00000e+00,    1.40050e+02,    0.00000e+00,    2.21968e+01,    0.00000e+00,    2.32496e+01,    0.00000e+00,    8.75724e+00,    0.00000e+00,    8.80012e+00,    0.00000e+00,              3,              0,       1 meters
  10/03/2018 15:33:38.757,    2.00220e+00,    0.00000e+00,    2.00220e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.34013e+04,    0.00000e+00,    4.23602e+02,    0.00000e+00,    2.02940e+00,    0.00000e+00,    4.29356e+02,    0.00000e+00,    1.40055e+02,    0.00000e+00,    2.21965e+01,    0.00000e+00,    2.32585e+01,    0.00000e+00,    8.75720e+00,    0.00000e+00,    8.80345e+00,    0.00000e+00,              3,              0,       1 meters
  10/03/2018 15:33:39.734,    2.00391e+00,    0.00000e+00,    2.00391e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.33228e+04,    0.00000e+00,    4.23632e+02,    0.00000e+00,    2.03097e+00,    0.00000e+00,    4.29352e+02,    0.00000e+00,    1.40069e+02,    0.00000e+00,    2.21973e+01,    0.00000e+00,    2.32642e+01,    0.00000e+00,    8.75388e+00,    0.00000e+00,    8.80276e+00,    0.00000e+00,              3,              0,       1 meters
  10/03/2018 15:33:40.711,    2.00174e+00,    0.00000e+00,    2.00174e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.33779e+04,    0.00000e+00,    4.23895e+02,    0.00000e+00,    2.02888e+00,    0.00000e+00,    4.29642e+02,    0.00000e+00,    1.40054e+02,    0.00000e+00,    2.22022e+01,    0.00000e+00,    2.32750e+01,    0.00000e+00,    8.76069e+00,    0.00000e+00,    8.80076e+00,    0.00000e+00,              3,              0,       1 meters
  10/03/2018 15:33:41.688,    2.00180e+00,    0.00000e+00,    2.00180e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.33651e+04,    0.00000e+00,    4.23966e+02,    0.00000e+00,    2.02892e+00,    0.00000e+00,    4.29709e+02,    0.00000e+00,    1.40054e+02,    0.00000e+00,    2.21981e+01,    0.00000e+00,    2.32837e+01,    0.00000e+00,    8.76117e+00,    0.00000e+00,    8.80532e+00,    0.00000e+00,              3,              0,       1 meters
  10/03/2018 15:33:42.665,    2.00080e+00,    0.00000e+00,    2.00080e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.33551e+04,    0.00000e+00,    4.23973e+02,    0.00000e+00,    2.02788e+00,    0.00000e+00,    4.29711e+02,    0.00000e+00,    1.40060e+02,    0.00000e+00,    2.21977e+01,    0.00000e+00,    2.32900e+01,    0.00000e+00,    8.75928e+00,    0.00000e+00,    8.80092e+00,    0.00000e+00,              3,              0,       1 meters
  10/03/2018 15:33:43.641,    2.00157e+00,    0.00000e+00,    2.00157e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.33459e+04,    0.00000e+00,    4.23753e+02,    0.00000e+00,    2.02864e+00,    0.00000e+00,    4.29484e+02,    0.00000e+00,    1.40051e+02,    0.00000e+00,    2.21993e+01,    0.00000e+00,    2.33029e+01,    0.00000e+00,    8.76367e+00,    0.00000e+00,    8.80349e+00,    0.00000e+00,              3,              0,       1 meters
  10/03/2018 15:33:44.618,    2.00133e+00,    0.00000e+00,    2.00133e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.33438e+04,    0.00000e+00,    4.24211e+02,    0.00000e+00,    2.02840e+00,    0.00000e+00,    4.29948e+02,    0.00000e+00,    1.40059e+02,    0.00000e+00,    2.21996e+01,    0.00000e+00,    2.33101e+01,    0.00000e+00,    8.76034e+00,    0.00000e+00,    8.80107e+00,    0.00000e+00,              3,              0,       1 meters
  10/03/2018 15:33:45.595,    2.00161e+00,    0.00000e+00,    2.00161e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    1.34000e+04,    0.00000e+00,    4.23954e+02,    0.00000e+00,    2.02879e+00,    0.00000e+00,    4.29712e+02,    0.00000e+00,    1.40040e+02,    0.00000e+00,    2.21995e+01,    0.00000e+00,    2.33186e+01,    0.00000e+00,    8.75997e+00,    0.00000e+00,    8.80696e+00,    0.00000e+00,              3,              0,       1 meters
